epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,2436.27,0.81552,0.50719,0.84623,0.85511,0.83017,0.90715,0.67144,0.4446,0.4274,0.52,0.000528058,0.000528058,0.000528058
55,2472.5,0.81272,0.51036,0.84875,0.88429,0.80976,0.9051,0.67502,0.42838,0.31392,0.51758,0.000517059,0.000517059,0.000517059
56,2506.39,0.81242,0.51009,0.84432,0.90331,0.78839,0.89457,0.66851,0.43557,0.34902,0.51902,0.00050606,0.00050606,0.00050606
57,2540.28,0.8076,0.49654,0.84315,0.89753,0.82646,0.90696,0.68453,0.43074,0.36137,0.51848,0.000495062,0.000495062,0.000495062
58,2573.89,0.79431,0.49671,0.84405,0.87922,0.83529,0.90024,0.66208,0.43442,0.34409,0.52165,0.000484063,0.000484063,0.000484063
59,2607.56,0.79777,0.49598,0.84429,0.86998,0.8413,0.90078,0.68383,0.41983,0.3257,0.51747,0.000473064,0.000473064,0.000473064
60,2642.44,0.79634,0.49658,0.84614,0.86426,0.86947,0.90164,0.68776,0.42191,0.34573,0.51354,0.000462065,0.000462065,0.000462065
61,2676.02,0.79585,0.4976,0.84398,0.89857,0.82758,0.91873,0.68985,0.42748,0.34815,0.51741,0.000451066,0.000451066,0.000451066
62,2710.9,0.79198,0.48699,0.83806,0.89003,0.83438,0.9066,0.68266,0.42132,0.34891,0.5136,0.000440067,0.000440067,0.000440067
63,2748.08,0.79649,0.48031,0.84259,0.89363,0.83383,0.91724,0.67176,0.42483,0.37478,0.51772,0.000429068,0.000429068,0.000429068
64,2783.38,0.78522,0.48755,0.8402,0.88581,0.8564,0.91718,0.67716,0.43769,0.33023,0.51716,0.000418069,0.000418069,0.000418069
65,2817.63,0.7859,0.47987,0.84128,0.89872,0.84248,0.91641,0.6894,0.41739,0.35173,0.52055,0.00040707,0.00040707,0.00040707
66,2847.67,0.77374,0.47787,0.83849,0.89055,0.85731,0.91098,0.69269,0.41099,0.3383,0.51713,0.000396071,0.000396071,0.000396071
67,2885.98,0.78807,0.4776,0.84774,0.90831,0.85832,0.91751,0.68453,0.42108,0.31815,0.51511,0.000385073,0.000385073,0.000385073
68,2919.76,0.77453,0.4787,0.83781,0.87964,0.84458,0.91675,0.68197,0.43362,0.31375,0.51891,0.000374074,0.000374074,0.000374074
69,2953.97,0.78724,0.48549,0.84403,0.89674,0.85505,0.91445,0.68849,0.41475,0.32256,0.51307,0.000363075,0.000363075,0.000363075
70,2989.65,0.78001,0.47929,0.8472,0.88205,0.85514,0.91042,0.6901,0.41286,0.30744,0.51664,0.000352076,0.000352076,0.000352076
71,3024.31,0.77451,0.48539,0.84149,0.91518,0.82662,0.91246,0.68956,0.40144,0.34025,0.50982,0.000341077,0.000341077,0.000341077
72,3058.25,0.7696,0.48087,0.8411,0.90733,0.84697,0.91545,0.68971,0.40815,0.30279,0.51216,0.000330078,0.000330078,0.000330078
73,3088.21,0.77679,0.47832,0.84047,0.88835,0.85989,0.91188,0.67704,0.40013,0.3186,0.50974,0.000319079,0.000319079,0.000319079
74,3121.68,0.75495,0.45394,0.83544,0.86951,0.86444,0.91592,0.68732,0.41369,0.30322,0.5139,0.00030808,0.00030808,0.00030808
75,3157.93,0.76839,0.4707,0.8369,0.87231,0.86103,0.9209,0.68092,0.42218,0.31282,0.51172,0.000297081,0.000297081,0.000297081
76,3193.81,0.78063,0.47264,0.83989,0.958,0.75647,0.9102,0.69195,0.40036,0.29984,0.51002,0.000286083,0.000286083,0.000286083
77,3232.1,0.76126,0.46323,0.83941,0.89846,0.81927,0.91307,0.69303,0.40584,0.32088,0.5152,0.000275084,0.000275084,0.000275084
78,3267.35,0.76201,0.46678,0.83464,0.94248,0.79645,0.91256,0.68936,0.40387,0.37371,0.51554,0.000264085,0.000264085,0.000264085
79,3304.48,0.76402,0.4667,0.83706,0.89911,0.83938,0.91426,0.68264,0.41421,0.35671,0.51269,0.000253086,0.000253086,0.000253086
80,3343.36,0.76177,0.45683,0.83776,0.94341,0.82279,0.91453,0.69603,0.40036,0.31489,0.51168,0.000242087,0.000242087,0.000242087
81,3379.14,0.75663,0.47143,0.84631,0.85975,0.85538,0.90604,0.68399,0.41184,0.32714,0.5131,0.000231088,0.000231088,0.000231088
82,3414.02,0.76046,0.45734,0.8332,0.8707,0.8625,0.90941,0.69701,0.39801,0.32044,0.51054,0.000220089,0.000220089,0.000220089
83,3451.18,0.75278,0.46227,0.83533,0.90458,0.83795,0.90755,0.70985,0.39513,0.30673,0.5102,0.00020909,0.00020909,0.00020909
84,3491.33,0.74895,0.45913,0.8383,0.88665,0.85001,0.91008,0.70559,0.39761,0.30702,0.51248,0.000198091,0.000198091,0.000198091
85,3530.84,0.75118,0.4479,0.83574,0.91561,0.81652,0.91334,0.70296,0.39277,0.29452,0.51134,0.000187092,0.000187092,0.000187092
86,3567.31,0.75172,0.45298,0.84072,0.96551,0.78436,0.90966,0.71224,0.3932,0.29153,0.50843,0.000176094,0.000176094,0.000176094
87,3604.37,0.74071,0.45077,0.84293,0.89884,0.85486,0.91782,0.71513,0.39387,0.28844,0.50797,0.000165095,0.000165095,0.000165095
88,3637.27,0.74935,0.44888,0.83731,0.96293,0.79288,0.91108,0.70655,0.39338,0.29701,0.51021,0.000154096,0.000154096,0.000154096
89,3669.03,0.74037,0.44677,0.83287,0.95805,0.7809,0.90982,0.71074,0.39416,0.29336,0.51134,0.000143097,0.000143097,0.000143097
90,3701.58,0.72908,0.44274,0.82883,0.89277,0.86035,0.91818,0.71004,0.39449,0.29246,0.51106,0.000132098,0.000132098,0.000132098
91,3749.38,0.64948,0.3871,0.80965,0.93295,0.80386,0.90337,0.69341,0.39979,0.32002,0.51073,0.000121099,0.000121099,0.000121099
92,3782.33,0.6517,0.38067,0.81516,0.93104,0.78457,0.91091,0.71103,0.39962,0.31711,0.50825,0.0001101,0.0001101,0.0001101
93,3811.22,0.65264,0.38295,0.81745,0.88169,0.85641,0.91039,0.70871,0.38828,0.3084,0.5074,9.91012e-05,9.91012e-05,9.91012e-05
94,3840.54,0.65838,0.38435,0.81182,0.92116,0.79952,0.91226,0.70717,0.39664,0.30357,0.50726,8.81023e-05,8.81023e-05,8.81023e-05
95,3871.41,0.65114,0.38255,0.81143,0.89039,0.86369,0.91428,0.71588,0.39097,0.30545,0.50671,7.71034e-05,7.71034e-05,7.71034e-05
96,3906.14,0.64634,0.38121,0.81772,0.87946,0.86464,0.91366,0.71602,0.38791,0.29356,0.50601,6.61045e-05,6.61045e-05,6.61045e-05
97,3938.26,0.65609,0.38978,0.81109,0.88382,0.86361,0.91686,0.71471,0.3891,0.30084,0.50661,5.51056e-05,5.51056e-05,5.51056e-05
98,3973.61,0.64553,0.38218,0.81076,0.88903,0.86326,0.91539,0.70897,0.38742,0.3008,0.50619,4.41067e-05,4.41067e-05,4.41067e-05
99,4007.75,0.63839,0.37393,0.81048,0.90974,0.85206,0.91566,0.71587,0.38636,0.29555,0.50655,3.31078e-05,3.31078e-05,3.31078e-05
100,4041.31,0.63277,0.37112,0.80769,0.91276,0.85838,0.91735,0.7221,0.38522,0.29778,0.50661,2.21089e-05,2.21089e-05,2.21089e-05
